"","season","no.epidemic.months","excess.all"
"2","1980/1981",2,55443.1534437321
"3","1981/1982",1,8598.16895435346
"4","1982/1983",2,16399.4618327781
"5","1983/1984",3,28615.9503224653
"6","1984/1985",4,51255.2334363615
"7","1985/1986",3,44558.8560592132
"8","1986/1987",3,37042.3479676346
"9","1987/1988",4,59200.2304531284
"10","1988/1989",3,38493.2250077005
"11","1989/1990",2,55626.0634026955
"12","1990/1991",2,16216.4457135933
"13","1991/1992",2,40752.5761829917
"14","1992/1993",3,46541.0558624832
"15","1993/1994",2,64365.9551361452
"16","1994/1995",3,44835.7168352615
"17","1995/1996",3,57712.9794750974
"18","1996/1997",3,67919.2311862176
"19","1997/1998",3,59483.9921159802
"20","1998/1999",3,62787.7778978381
"21","1999/2000",2,68168.2666919201
"22","2000/2001",3,53613.4637269424
